,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
0,Massachusetts,35,Hawaii,38,1
1,Colorado St,58,Oregon St,27,1
2,San Jose St,22,South Florida,42,1
3,Stanford,62,Rice,7,0
4,Indiana,21,Ohio St,49,1
5,Memphis,37,ULM,29,1
6,Minnesota,17,Buffalo,7,1
7,Arizona St,37,New Mexico St,31,1
8,UCF,61,Florida Intl,17,1
9,Oklahoma St,59,Tulsa,24,1
10,E Michigan,24,Charlotte,7,1
11,Rutgers,14,Washington,30,1
12,N Illinois,20,Boston College,23,1
13,Wisconsin,59,Utah St,10,1
14,Colorado,17,Colorado St,3,0
15,FL Atlantic,19,Navy,42,1
16,Baylor,45,Liberty,48,1
17,Clemson,56,Kent,3,1
18,Coastal Car,38,Massachusetts,28,1
19,Alabama,24,Florida St,7,0
20,Georgia,31,Appalachian St,10,1
21,Marshall,31,Miami OH,26,1
22,Michigan St,35,Bowling Green,10,1
23,North Carolina,30,California,35,1
24,South Carolina,35,NC State,28,0
25,Penn St,52,Akron,0,1
26,Louisville,35,Purdue,28,0
27,Auburn,41,Ga Southern,7,1
28,LSU,27,BYU,0,1
29,Michigan,33,Florida,17,0
30,Illinois,24,Ball St,21,1
31,Iowa,24,Wyoming,3,1
32,Nebraska,43,Arkansas St,36,1
33,Northwestern,31,Nevada,20,1
34,Oklahoma,56,UTEP,7,1
35,Mississippi,47,South Alabama,27,1
36,Texas,41,Maryland,51,1
37,Boise St,24,Troy,13,1
38,USC,49,W Michigan,31,1
39,Notre Dame,49,Temple,16,1
40,Southern Miss,17,Kentucky,24,1
41,MTSU,6,Vanderbilt,28,1
42,UCLA,45,Texas A&M,44,1
43,Virginia Tech,31,West Virginia,24,0
44,Tennessee,42,Georgia Tech,41,0
45,Purdue,44,Ohio,21,1
46,South Alabama,7,Oklahoma St,44,1
47,Army,21,Buffalo,17,1
48,Ball St,51,UAB,31,1
49,Boston College,10,Wake Forest,34,1
50,Clemson,14,Auburn,6,1
51,Duke,41,Northwestern,17,1
52,Massachusetts,7,Old Dominion,17,1
53,Michigan,36,Cincinnati,14,1
54,Michigan St,28,W Michigan,14,1
55,Navy,23,Tulane,21,1
56,North Carolina,35,Louisville,47,1
57,NC State,37,Marshall,20,1
58,Ohio St,16,Oklahoma,31,1
59,Penn St,33,Pittsburgh,14,1
60,Rutgers,13,E Michigan,16,1
61,Syracuse,23,MTSU,30,1
62,Virginia,17,Indiana,34,1
63,West Virginia,56,East Carolina,20,1
64,Alabama,41,Fresno St,10,1
65,Arkansas,7,TCU,28,1
66,Baylor,10,UT San Antonio,17,1
67,Illinois,20,WKU,7,1
68,Iowa St,41,Iowa,44,1
69,Kansas,27,C Michigan,45,1
70,Kansas St,55,Charlotte,7,1
71,Missouri,13,South Carolina,31,1
72,SMU,54,North Texas,32,1
73,Texas,56,San Jose St,0,1
74,Wisconsin,31,FL Atlantic,14,1
75,BYU,13,Utah,19,1
76,Colorado,37,Texas St,3,1
77,New Mexico,28,New Mexico St,30,1
78,UTEP,14,Rice,31,1
79,Arizona,16,Houston,19,1
80,Arizona St,20,San Diego St,30,1
81,Nevada,24,Toledo,37,1
82,Oregon,42,Nebraska,35,1
83,Oregon St,14,Minnesota,48,1
84,UCLA,56,Hawaii,23,1
