,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
0,Kentucky,14,WKU,3,0
1,Florida Intl,41,North Texas,16,1
2,Memphis,14,Mississippi St,59,1
3,Wisconsin,51,UNLV,17,1
4,Syracuse,36,Wake Forest,29,1
5,Baylor,50,TCU,48,1
6,Pittsburgh,35,Buffalo,16,1
7,Purdue,27,MTSU,24,1
8,LSU,40,Oregon,27,0
9,New Mexico St,24,Ohio,44,1
10,NC State,43,Liberty,21,1
11,N Illinois,49,Army,26,1
12,Ohio St,42,Akron,0,1
13,Oklahoma,47,Tulsa,14,1
14,Michigan,34,W Michigan,10,1
15,Mississippi,13,BYU,14,1
16,Missouri,17,Miami OH,6,1
17,New Mexico,10,Colorado St,14,1
18,Texas Tech,50,Texas St,10,1
19,Clemson,43,Troy,19,1
20,California,36,Fresno St,21,1
21,Florida,41,FL Atlantic,3,1
22,Boston College,17,Northwestern,24,1
23,South Carolina,56,East Carolina,37,0
24,USC,19,Minnesota,17,1
25,Alabama,48,Kent,7,1
26,Auburn,42,Utah St,38,1
27,Ball St,27,Indiana,20,0
28,Florida St,34,ULM,0,1
29,Hawaii,34,Colorado,17,1
30,Texas,34,Rice,9,1
31,Southern Miss,19,Louisiana Tech,17,1
32,Stanford,57,San Jose St,3,1
33,Houston,38,UCLA,34,1
34,Illinois,33,Arkansas St,15,1
35,Virginia Tech,66,Appalachian St,13,1
36,Notre Dame,20,South Florida,23,1
37,Boise St,35,Georgia,21,0
38,Texas A&M,46,SMU,14,1
39,West Virginia,34,Marshall,13,1
40,Maryland,32,Miami FL,24,1
41,Oklahoma St,37,Arizona,14,1
42,Louisville,17,Florida Intl,24,1
43,Arizona St,37,Missouri,30,1
44,Arkansas,52,New Mexico,3,0
45,Army,20,San Diego St,23,1
46,Arkansas St,47,Memphis,3,1
47,Akron,3,Temple,41,1
48,USC,23,Utah,14,1
49,SMU,28,UTEP,17,1
50,East Carolina,10,Virginia Tech,17,1
51,Duke,14,Stanford,44,1
52,Wyoming,45,Texas St,10,1
