,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
0,Tulsa,38,Tulane,31,1
1,Rutgers,41,Washington St,38,0
2,South Carolina,28,Texas A&M,52,1
3,ULM,17,Wake Forest,10,1
4,Mississippi,35,Boise St,13,0
5,Vanderbilt,7,Temple,37,1
6,WKU,59,Bowling Green,31,1
7,Colorado St,31,Colorado,17,0
8,Connecticut,10,BYU,35,1
9,Houston,7,UT San Antonio,27,1
10,Arizona,58,UNLV,13,1
11,Penn St,26,UCF,24,0
12,Kent,14,Ohio,17,1
13,Massachusetts,7,Boston College,30,1
14,Miami OH,27,Marshall,42,1
15,Michigan,52,Appalachian St,14,1
16,North Carolina,56,Liberty,29,1
17,NC State,24,Ga Southern,23,1
18,Purdue,43,W Michigan,34,1
19,Georgia,45,Clemson,21,1
20,Ohio St,34,Navy,17,0
21,Virginia,20,UCLA,28,1
22,Nebraska,55,FL Atlantic,7,1
23,Northwestern,24,California,31,1
24,Oklahoma,48,Louisiana Tech,16,1
25,Texas,38,North Texas,7,1
26,UAB,48,Troy,10,1
27,Florida St,37,Oklahoma St,31,0
28,New Mexico,24,UTEP,31,1
29,Alabama,33,West Virginia,23,0
30,USC,52,Fresno St,13,1
31,Notre Dame,48,Rice,17,1
32,Auburn,45,Arkansas,21,1
33,Mississippi St,49,Southern Miss,0,1
34,Hawaii,16,Washington,17,1
35,LSU,28,Wisconsin,24,0
36,Baylor,45,SMU,0,1
37,Tennessee,38,Utah St,7,1
38,Louisville,31,Miami FL,13,1
39,UT San Antonio,23,Arizona,26,1
40,Boston College,20,Pittsburgh,30,1
41,Nevada,24,Washington St,13,1
42,Alabama,41,FL Atlantic,0,1
43,Army,47,Buffalo,39,1
44,Georgia St,31,New Mexico St,34,1
45,Kent,13,South Alabama,23,1
46,Kentucky,20,Ohio,3,1
47,Massachusetts,38,Colorado,41,1
48,North Carolina,31,San Diego St,27,1
49,NC State,46,Old Dominion,34,1
50,Penn St,21,Akron,3,1
51,Purdue,17,C Michigan,38,1
52,South Carolina,33,East Carolina,23,1
53,South Florida,17,Maryland,24,1
54,Temple,24,Navy,31,1
55,Tennessee,34,Arkansas St,19,1
56,Toledo,24,Missouri,49,1
57,Auburn,59,San Jose St,13,1
58,Illinois,42,WKU,34,1
59,Iowa,17,Ball St,13,1
60,Iowa St,28,Kansas St,32,1
61,Minnesota,35,MTSU,24,1
62,Mississippi St,47,UAB,34,1
63,North Texas,43,SMU,6,1
64,Northwestern,15,N Illinois,23,1
65,Texas,7,BYU,41,1
66,Tulane,21,Georgia Tech,38,1
67,Vanderbilt,3,Mississippi,41,1
68,Tulsa,7,Oklahoma,52,1
69,Troy,17,Duke,34,1
70,UTEP,26,Texas Tech,30,1
71,Utah,59,Fresno St,27,1
72,Wyoming,17,Air Force,13,1
73,UCLA,42,Memphis,35,1
74,Oregon,46,Michigan St,27,1
75,Stanford,10,USC,13,1
76,Florida,65,E Michigan,0,1
77,New Mexico,23,Arizona St,58,1
78,Notre Dame,31,Michigan,0,1
79,Ohio St,21,Virginia Tech,35,1
80,Boise St,37,Colorado St,24,1
81,Hawaii,30,Oregon St,38,1
82,North Texas,21,Louisiana Tech,42,1
83,BYU,33,Houston,25,1
84,Buffalo,21,Baylor,63,1
85,Cincinnati,58,Toledo,34,1
86,Bowling Green,45,Indiana,42,1
87,C Michigan,3,Syracuse,40,1
88,Connecticut,21,Boise St,38,1
89,Duke,41,Kansas,3,1
90,Florida Intl,25,Pittsburgh,42,1
91,FL Atlantic,50,Tulsa,21,1
92,Georgia St,38,Air Force,48,1
93,Georgia Tech,42,Ga Southern,38,1
94,Marshall,44,Ohio,14,1
95,Maryland,37,West Virginia,40,1
96,Miami FL,41,Arkansas St,20,1
97,Michigan,34,Miami OH,10,1
98,Ohio St,66,Kent,0,1
99,Old Dominion,17,E Michigan,3,1
100,South Carolina,38,Georgia,35,1
101,South Florida,17,NC State,49,1
102,Virginia Tech,21,East Carolina,28,1
103,Missouri,38,UCF,10,1
104,Virginia,23,Louisville,21,1
105,Boston College,37,USC,31,1
106,Alabama,52,Southern Miss,12,1
