,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
0,Tulane,7,Duke,37,1
1,Utah,24,Michigan,17,1
2,South Carolina,17,North Carolina,13,0
3,Minnesota,17,TCU,23,1
4,Arizona,42,UT San Antonio,32,1
5,Vanderbilt,12,WKU,14,1
6,UCF,14,Florida Intl,15,1
7,Hawaii,28,Colorado,20,1
8,C Michigan,13,Oklahoma St,24,1
9,Georgia St,20,Charlotte,23,1
10,Boise St,16,Washington,13,1
11,W Michigan,24,Michigan St,37,1
12,SMU,21,Baylor,56,1
13,NC State,49,Troy,21,1
14,Alabama,35,Wisconsin,17,0
15,UCLA,34,Virginia,16,1
16,Arkansas,48,UTEP,13,1
17,E Michigan,34,Old Dominion,38,1
18,Tulsa,47,FL Atlantic,44,1
19,Auburn,31,Louisville,24,0
20,West Virginia,44,Ga Southern,0,1
21,Texas A&M,38,Arizona St,17,0
22,USC,55,Arkansas St,6,1
23,Oklahoma,41,Akron,3,1
24,Tennessee,59,Bowling Green,30,0
25,Nebraska,28,BYU,33,1
26,Southern Miss,16,Mississippi St,34,1
27,N Illinois,38,UNLV,30,1
28,Florida,61,New Mexico St,13,1
29,Georgia,51,ULM,14,1
30,Notre Dame,38,Texas,3,1
31,Northwestern,16,Stanford,6,1
32,Florida St,59,Texas St,16,1
33,Temple,27,Penn St,10,1
34,Illinois,52,Kent,3,1
35,Marshall,41,Purdue,31,1
36,Virginia Tech,24,Ohio St,42,1
37,WKU,41,Louisiana Tech,38,1
38,FL Atlantic,20,Miami FL,44,1
39,Utah,24,Utah St,14,1
40,Virginia,27,Notre Dame,34,1
41,SMU,31,North Texas,13,1
42,Arkansas St,20,Missouri,27,1
43,Alabama,37,MTSU,10,1
44,Colorado St,20,Minnesota,23,1
45,Wisconsin,58,Miami OH,0,1
46,Colorado,48,Massachusetts,14,1
47,Texas,42,Rice,28,1
48,Akron,7,Pittsburgh,24,1
49,California,35,San Diego St,7,1
50,Air Force,37,San Jose St,16,1
51,Michigan St,31,Oregon,28,1
52,Michigan,35,Oregon St,7,1
53,Tennessee,24,Oklahoma,31,1
54,Cincinnati,26,Temple,34,1
55,Iowa St,17,Iowa,31,1
56,Mississippi St,19,LSU,21,1
57,UT San Antonio,3,Kansas St,30,1
58,Kansas,23,Memphis,55,1
59,Ohio,21,Marshall,10,1
60,South Carolina,22,Kentucky,26,1
61,Ohio St,38,Hawaii,0,1
62,Louisville,31,Houston,34,1
63,Mississippi,73,Fresno St,21,1
64,Vanderbilt,14,Georgia,31,1
65,Wyoming,29,E Michigan,48,1
66,Florida,31,East Carolina,24,1
67,Maryland,27,Bowling Green,48,1
68,Clemson,41,Appalachian St,10,1
69,Nevada,20,Arizona,44,1
70,Texas A&M,56,Ball St,23,1
71,BYU,35,Boise St,24,1
72,Connecticut,22,Army,17,1
73,Florida St,34,South Florida,14,1
74,Indiana,36,Florida Intl,22,1
75,New Mexico St,32,Georgia St,34,1
76,Nebraska,48,South Alabama,9,1
77,Texas Tech,69,UTEP,20,1
78,Toledo,16,Arkansas,12,0
79,Georgia Tech,65,Tulane,10,1
80,New Mexico,21,Tulsa,40,1
81,UNLV,3,UCLA,37,1
82,Syracuse,30,Wake Forest,17,1
83,West Virginia,41,Liberty,17,1
84,Penn St,27,Buffalo,14,1
85,Stanford,31,UCF,7,1
86,Ga Southern,43,W Michigan,17,1
87,Rutgers,34,Washington St,37,1
88,Louisville,17,Clemson,20,1
89,Boston College,0,Florida St,14,1
90,Arizona St,34,New Mexico,10,1
